preguntas,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
Que actor interpreto a Jack Sparrow en Piratas del Caribe,Brad Pitt,Leonardo DiCaprio,Tom Cruise,Johnny Depp,Johnny Depp
Como se llama el villano principal en Batman: el caballero de la noche(2008),Bane,El Joker,Dos Caras,El Pinguino,El Joker
Que pelicula de Pixar trata sobre un robot que limpia la Tierra abandonada,Up,Toy Story,Ratatouille,WALL-E,WALL-E
En que pelicula de Disney aparece la cancion Hakuna Matata,Aladdin,La Sirenita,El Rey Leon,Hercules,El Rey Leon
Cual es el verdadero nombre de la princesa en Aladdin,Jasmine,Ariel,Bella,Cenicienta,Jasmine
Que animal acompaña a Mulan como su guardian espiritual,Un dragon,Un tigre,Un fenix,Un mono,Un dragon
Quien levanta el martillo de Thor en Avengers: Endgame,Iron Man,Hulk,Capitan America,Vision,Capitan America
Cual es el trabajo de Pepe Argento en Casados con Hijos,Vende autos,Vende zapatos,Es carpintero,Es abogado,Vende zapatos
Donde trabajan juntos Jack y Rose en Titanic,Tropiezan y se conocen antes de llegar al barco,En un teatro,En una fabrica,No trabajan se conocen en un barco,No trabajan se conocen en un barco
Que siente Ray la luciernaga hacia la estrella Evangeline en La Princesa y el Sapo,Un amor profundo y romantico,Resentimiento por no ser correspondido,Admiracion como si fuera su lider,Miedo porque cree que es magica,Un amor profundo y romantico
